timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733391265813,796,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-309,text,true,,1975,1096,400,400,http://bff.int-lt:3000/api/v2/station/serangoon-serangoonnorthavenue4-blk512a-deck1b/reserve-car,790,0,36
1733391267272,987,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-150,text,true,,1951,1075,400,400,http://bff.int-lt:3000/api/v2/station/geylang-ubiavenue1-blk349/reserve-car,981,0,29
1733391270808,705,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-355,text,true,,1955,1086,400,400,http://bff.int-lt:3000/api/v2/station/woodlands-woodlandrise-blk785-deck2b/reserve-car,699,0,21
1733391271208,797,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-356,text,true,,1965,1091,400,400,http://bff.int-lt:3000/api/v2/station/woodlands-woodlandringroad-blk649a-deck1b/reserve-car,791,0,19
1733391271202,924,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-40,text,true,,1957,1074,400,400,http://bff.int-lt:3000/api/v2/station/bishan-bishanstreet13-blk186/reserve-car,919,0,19
1733391279181,751,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-46,text,true,,1973,1082,400,400,http://bff.int-lt:3000/api/v2/station/bukitbatok-bukitbatokstreet33-blk319/reserve-car,744,0,16
1733391284719,730,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-295,text,true,,1957,1087,400,400,http://bff.int-lt:3000/api/v2/station/sengkang-rivervalewalk-blk102a-deck2a/reserve-car,723,0,16
1733391285854,743,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-305,text,true,,1949,1083,400,400,http://bff.int-lt:3000/api/v2/station/serangoon-serangoonavenue4-blk212/reserve-car,736,0,17
1733391288865,702,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-251,text,true,,1945,1081,400,400,http://bff.int-lt:3000/api/v2/station/punggol-sumanglane-blk233-deck1/reserve-car,696,0,13
1733391295960,1785,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-75,text,true,,1997,1094,400,400,http://bff.int-lt:3000/api/v2/station/bukitpanjang-bukitpanjangringroad-blk449a-deck2b/reserve-car,1779,0,66
1733391298435,759,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-265,text,true,,1965,1091,400,400,http://bff.int-lt:3000/api/v2/station/queenstown-strathmoreavenue-blk56a-deck1b/reserve-car,754,0,15
1733391303840,1003,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-33,text,true,,1965,1078,400,400,http://bff.int-lt:3000/api/v2/station/bedok-chaicheeroad-blk807-deck1b/reserve-car,992,0,21
1733391304584,988,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-142,text,true,,1965,1082,400,400,http://bff.int-lt:3000/api/v2/station/geylang-circuitroad-blk82-deck2a/reserve-car,980,0,27
1733391305136,759,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-203,text,true,,1951,1084,400,400,http://bff.int-lt:3000/api/v2/station/kallang-geylanglor3-blk114a-deck1a/reserve-car,748,0,24
1733391305366,969,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-393,text,true,,1947,1082,400,400,http://bff.int-lt:3000/api/v2/station/angmokio-angmokioavenue10-blk544/reserve-car,960,0,60
1733391307452,284,BFF Start Rental - http request,200,OK,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-79,text,true,,1273,1062,400,400,http://bff.int-lt:3000/api/v2/journey/start,284,0,17
1733391309672,1176,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-250,text,true,,1949,1083,400,400,http://bff.int-lt:3000/api/v2/station/punggol-punggolwalk-blk213-deck1a/reserve-car,1176,0,24
1733391310166,982,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-325,text,true,,1947,1082,400,400,http://bff.int-lt:3000/api/v2/station/tampines-tampinesstreet22-blk274/reserve-car,975,0,18
1733391313136,727,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-44,text,true,,1973,1082,400,400,http://bff.int-lt:3000/api/v2/station/bukitbatok-bukitbatokstreet31-blk307/reserve-car,722,0,33
1733391313083,1412,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-4,text,true,,1941,1075,400,400,http://bff.int-lt:3000/api/v2/station/angmokio-angmokioave10-blk410/reserve-car,1400,0,18
1733391320320,814,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-2,text,true,,1935,1072,400,400,http://bff.int-lt:3000/api/v2/station/7-Stadium-Drive-397632-001/reserve-car,809,0,56
1733391321782,782,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-354,text,true,,1963,1090,400,400,http://bff.int-lt:3000/api/v2/station/woodlands-woodlanddrive52-blk626a-deck2a/reserve-car,774,0,20
1733391322476,291,BFF Start Rental - http request,200,OK,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-220,text,true,,1273,1065,400,400,http://bff.int-lt:3000/api/v2/journey/start,291,0,21
1733391325672,240,BFF Start Rental - http request,200,OK,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-247,text,true,,1273,1062,400,400,http://bff.int-lt:3000/api/v2/journey/start,240,0,54
1733391326005,994,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-378,text,true,,1939,1078,400,400,http://bff.int-lt:3000/api/v2/station/yishun-yishunringroad-blk853/reserve-car,989,0,23
1733391326304,788,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-101,text,true,,1967,1083,400,400,http://bff.int-lt:3000/api/v2/station/central-kelantanlane-blk31-deck1a/reserve-car,783,0,20
1733391326644,837,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-332,text,true,,1963,1090,400,400,http://bff.int-lt:3000/api/v2/station/tampines-tampinesstreet71-blk701a-deck1a/reserve-car,831,0,16
1733391326446,1751,BFF Reservation - http request,201,Created,Rental Flow via BFF Endpoints - Unlock/Lock Included 1-294,text,true,,1959,1088,400,400,http://bff.int-lt:3000/api/v2/station/sengkang-rivervaledrive-blk124d-deck1a/reserve-car,1738,0,59
